lat,lng,desc,zip,title,timeStamp,twp,addr,e
40.169545,-75.2497639,WISSAHICKON AVE & MAPLE AVE;  LOWER GWYNEDD; Station 351; 2019-07-31 @ 05:13:54;,19422.0,EMS: CARDIAC EMERGENCY,2019-07-31 05:13:54,LOWER GWYNEDD,WISSAHICKON AVE & MAPLE AVE,1
40.0698321,-75.3162951,RAMP I76 EB TO I476  & SCHUYLKILL EXPY EB; WEST CONSHOHOCKEN; 2019-08-23 @ 13:32:45;,,Traffic: VEHICLE ACCIDENT -,2019-08-23 13:32:45,WEST CONSHOHOCKEN,RAMP I76 EB TO I476  & SCHUYLKILL EXPY EB,1
40.1546984,-75.1392426,WELSH RD & COMPUTER AVE; UPPER MORELAND; 2018-02-02 @ 04:08:55-Station:STA10;,19090.0,Fire: FIRE ALARM,2018-02-02 04:08:55,UPPER MORELAND,WELSH RD & COMPUTER AVE,1
40.3825294,-75.4734906,BURGUNDY CIR & VINE DR;  UPPER HANOVER; Station 369; 2019-03-22 @ 04:33:46;,18073.0,EMS: FALL VICTIM,2019-03-22 04:33:46,UPPER HANOVER,BURGUNDY CIR & VINE DR,1
40.0916089,-75.1384509,E GLENSIDE AVE & CLIFF TER; CHELTENHAM; 2019-12-11 @ 17:15:46;,19095.0,Traffic: DISABLED VEHICLE -,2019-12-11 17:15:46,CHELTENHAM,E GLENSIDE AVE & CLIFF TER,1
40.02654,-75.328395,LANCASTER AVE & COUNTY LINE RD;  LOWER MERION; Station 313; 2016-01-11 @ 16:32:56;,19010.0,EMS: VEHICLE ACCIDENT,2016-01-11 16:32:56,LOWER MERION,LANCASTER AVE & COUNTY LINE RD,1
40.0634097,-75.1393881,CHELTENHAM AVE & N BROAD ST; CHELTENHAM; 2017-01-19 @ 18:56:49;,19027.0,Traffic: VEHICLE ACCIDENT -,2017-01-19 18:56:49,CHELTENHAM,CHELTENHAM AVE & N BROAD ST,1
40.2659446,-75.2771874,COWPATH RD; HATFIELD TOWNSHIP; 2016-04-23 @ 12:51:46-Station:STA12;,,Fire: VEHICLE ACCIDENT,2016-04-23 12:51:46,HATFIELD TOWNSHIP,COWPATH RD,1
40.078717,-75.1598163,OGONTZ AVE & LIMEKILN PIKE;  CHELTENHAM; Station 358A; 2018-12-25 @ 11:45:55;,19095.0,EMS: SEIZURES,2018-12-25 11:45:55,CHELTENHAM,OGONTZ AVE & LIMEKILN PIKE,1
40.243881,-75.616191,HIGH ST & BEECH ST; POTTSTOWN; 2019-07-22 @ 10:43:42;,19464.0,Traffic: VEHICLE ACCIDENT -,2019-07-22 10:43:42,POTTSTOWN,HIGH ST & BEECH ST,1
40.174852,-75.1966625,BUTLER PIKE & TALLY HO DR; UPPER DUBLIN; 2016-03-09 @ 18:40:05;,19002.0,Traffic: HAZARDOUS ROAD CONDITIONS -,2016-03-09 18:40:05,UPPER DUBLIN,BUTLER PIKE & TALLY HO DR,1
40.1286494,-75.3313296,LOCUST ST & W ROBERTS ST;  NORRISTOWN; Station 308A; 2016-12-23 @ 18:37:15;,19401.0,EMS: GAS-ODOR/LEAK,2016-12-23 18:37:15,NORRISTOWN,LOCUST ST & W ROBERTS ST,1
40.1666567,-75.1464961,BUSINESS CENTER DR & DRESHER RD; HORSHAM; 2018-08-27 @ 09:12:42;,19044.0,Traffic: VEHICLE ACCIDENT -,2018-08-27 09:12:42,HORSHAM,BUSINESS CENTER DR & DRESHER RD,1
40.1473152,-75.1214521,BARRETT RD & BARTRAM RD; UPPER MORELAND; 2016-12-25 @ 15:58:27-Station:STA10;,19090.0,Fire: BUILDING FIRE,2016-12-25 15:58:27,UPPER MORELAND,BARRETT RD & BARTRAM RD,1
40.146865,-75.3952095,RIDGE PIKE & N PARK AVE; LOWER PROVIDENCE; 2019-10-28 @ 14:12:47;,19403.0,Traffic: VEHICLE ACCIDENT -,2019-10-28 14:12:47,LOWER PROVIDENCE,RIDGE PIKE & N PARK AVE,1
40.1247752,-75.2931878,GERMANTOWN PIKE & HALLOWELL RD;  PLYMOUTH; Station 308; 2018-03-20 @ 15:49:03;,19462.0,EMS: SEIZURES,2018-03-20 15:49:03,PLYMOUTH,GERMANTOWN PIKE & HALLOWELL RD,1
40.2541046,-75.6785751,HOWARD ST & WALNUT ST;  WEST POTTSGROVE; Station 329; 2016-09-01 @ 15:25:49;,19464.0,EMS: MEDICAL ALERT ALARM,2016-09-01 15:25:49,WEST POTTSGROVE,HOWARD ST & WALNUT ST,1
40.0972222,-75.3761952,PENNSYLVANIA TPKE & RAMP I276 WB TO I76 EB; UPPER MERION; 2019-12-15 @ 20:05:22;,,Traffic: DISABLED VEHICLE -,2019-12-15 20:05:22,UPPER MERION,PENNSYLVANIA TPKE & RAMP I276 WB TO I76 EB,1
40.1316537,-75.3098072,NEW HOPE ST & BELVOIR RD; PLYMOUTH; 2017-11-29 @ 19:36:21;,19401.0,Traffic: DISABLED VEHICLE -,2017-11-29 19:36:21,PLYMOUTH,NEW HOPE ST & BELVOIR RD,1
40.0876155,-75.2143723,STENTON AVE & HILLCREST AVE; SPRINGFIELD; 2017-08-02 @ 12:48:36;,19118.0,Traffic: VEHICLE ACCIDENT -,2017-08-02 12:48:36,SPRINGFIELD,STENTON AVE & HILLCREST AVE,1
40.0946197,-75.3628559,DEKALB PIKE & N HENDERSON RD; UPPER MERION; 2018-02-27 @ 12:47:49;,19406.0,Traffic: VEHICLE ACCIDENT -,2018-02-27 12:47:49,UPPER MERION,DEKALB PIKE & N HENDERSON RD,1
40.4039658,-75.5004776,MAIN ST & 2ND ST; EAST GREENVILLE; 2017-01-29 @ 15:45:37;,18041.0,Traffic: VEHICLE ACCIDENT -,2017-01-29 15:45:37,EAST GREENVILLE,MAIN ST & 2ND ST,1
